NAMA_DESA,KODE_DESA,LUAS,PENDUDUK,TOTAL_AREA
Bunder,34.03.100.004,4419.0,2791,508.4
Salam,34.03.100.007,5210.0,2546,432.8
Ngalang,34.03.100.011,5898.0,2472,1186.0
Kedungpoh,34.03.110.007,9999.0,5814,1003.0
Kampung,34.03.120.003,8816.0,7006,804.2
pundungsari,34.03.130.004,7280.0,4087,584.9
Sumberrejo,34.03.130.009,8907.0,6165,781.3
Sumberarum,34.04.010.004,7650.0,6955,847.5
Sendangrejo,34.04.020.003,5980.0,8784,656.8
Margoagung,34.04.030.004,5180.0,8659,381.3
Sidoluhur,34.04.040.002,5190.0,9095,480.6
Sidokarto,34.04.040.005,3640.0,8773,333.9
Nogotirto,34.04.050.004,3490.0,11868,232.3
Condongcatur,34.04.070.003,9500.0,28453,1141.0
Sumberharjo,34.04.090.001,9170.0,11186,1315.0
Gayamharjo,34.04.090.003,6550.0,4219,600.2
Purwomartani,34.04.100.001,12050.0,16235,1141.0
Tamanmartani,34.04.100.003,7300.0,12414,826.9
Bimomartani,34.04.110.004,4440.0,6677,276.2
Sukoharjo,34.04.120.004,8030.0,8815,795.1
Donoharjo,34.04.120.006,1530.0,11023,570.7
Triharjo,34.04.130.002,5780.0,13607,522.4
Margorejo,34.04.140.006,5390.0,7893,325.1
Pakembinangun,34.04.160.004,4180.0,5403,367.0
Patehan,34.71.020.001,400.0,7840,34.5
Wirogunan,34.71.030.003,852.0,15912,54.6
Majumuju,34.71.040.006,1534.0,9541,116.9
Prenggan,34.71.050.001,986.0,7309,94.0
Terban,34.71.060.005,797.0,14113,113.0
Tegalpanggung,34.71.070.002,350.0,11468,16.1
Patangpuluhan,34.71.110.001,443.0,7778,71.3
Pakuncen,34.71.110.003,649.0,10927,65.7
Sosromanduran,34.71.120.002,496.0,10790,32.1
Kricak,34.71.140.003,818.0,13172,94.3
Demen,34.01.010.008,975.0,1464,112.5
Sogan,34.01.020.002,2505.0,2183,353.5
Cerme,34.01.030.010,3791.0,3667,385.3
Nomporejo,34.01.040.004,1909.0,2408,222.2
Jatirejo,34.01.050.003,6359.0,6488,747.2
Sukoreno,34.01.060.005,10010.0,6866,1005.0
Pengasih,34.01.070.005,6767.0,7763,732.5
Hargomulyo,34.01.080.001,13110.0,8969,1533.0
Giripurwo,34.01.100.002,14674.0,8282,1132.0
Gerbosari,34.01.110.005,10766.0,5137,1088.0
banjarharjo,34.01.120.003,12343.0,7517,1630.0
Murtigading,34.02.020.004,4387.0,8649,340.7
Parangtritis,34.02.030.002,11872.0,6635,1458.0
Sidomulyo,34.02.050.001,8055.0,13512,589.6
Trirenggo,34.02.070.004,6100.0,15205,515.6
Sriharjo,34.02.090.002,6266.0,9093,830.0
Imogiri,34.02.090.007,836.0,3589,138.9
Wonolelo,34.02.110.005,4285.0,3950,620.8
Wirokerten,34.02.130.004,3862.0,8259,382.2
Banguntapan,34.02.130.008,8333.0,22800,700.4
Sendangsari,34.02.160.002,11762.0,9827,1031.0
Giritirto,34.03.010.005,11286.0,3962,948.6
Girimulyo,34.03.010.008,16297.0,5109,1299.0
Nglora,34.03.020.006,7326.0,2969,939.4
Giring,34.03.020.011,10143.0,3035,1059.0
Grogol,34.03.020.014,3698.0,2676,1067.0
Sidoharjo,34.03.030.005,16043.0,6046,1834.0
Melikan,34.03.040.007,10626.0,3476,1041.0
Bohol,34.03.040.010,5186.0,1449,480.3
Semanu,34.03.050.005,16463.0,15517,2093.0
Gombang,34.03.060.001,6410.0,2971,641.6
Karangasem,34.03.060.004,6273.0,5195,979.0
Ngawis,34.03.070.008,7025.0,4442,967.3
Mulyo,34.03.080.002,6646.0,3790,975.5
Karangrejek,34.03.080.007,5149.0,4404,473.2
Karangtengah,34.03.080.013,5235.0,7058,625.3
Bleberan,34.03.090.003,7201.0,5482,1604.0
Playen,34.03.090.007,4308.0,3762,373.7
Nglanggeran,34.03.100.010,7628.0,2043,799.4
Hargomulyo,34.03.110.004,11476.0,7421,957.6
Natah,34.03.110.010,7968.0,4751,498.1
Sambirejo,34.03.120.005,8748.0,6665,1540.0
Kalitekuk,34.03.130.001,5990.0,3937,553.8
Karangsari,34.03.130.005,9376.0,6466,1075.0
Sumberrahayu,34.04.010.001,6310.0,6629,652.0
sendangmulyo,34.04.020.001,6700.0,7069,652.4
Sidorejo,34.04.040.001,5440.0,6921,483.7
Sidomoyo,34.04.040.007,3020.0,6300,254.3
Balecatur,34.04.050.001,9860.0,12305,1120.0
trihanggo,34.04.050.005,5620.0,11711,919.3
Sendangtirto,34.04.080.001,5220.0,10479,662.7
Sambirejo,34.04.090.004,8390.0,4475,713.8
Wedomartani,34.04.110.001,12440.0,14980,939.8
Sariharjo,34.04.120.001,6890.0,10351,760.0
Caturharjo,34.04.130.001,7440.0,11830,719.5
Tridadi,34.04.130.003,5040.0,10717,478.0
Donokerto,34.04.150.002,7410.0,8102,796.1
Harjobinangun,34.04.160.003,5520.0,4930,432.1
Umbulharjo,34.04.170.005,8260.0,3413,788.3
Kadipaten,34.71.020.003,340.0,9482,18.9
Brotokusuman,34.71.030.001,928.0,11709,111.2
Tahunan,34.71.040.005,776.0,7932,46.9
Klitren,34.71.060.003,679.0,16199,62.5
Prawirodirjan,34.71.090.001,450.0,11352,31.6
Wirobrajan,34.71.110.002,670.0,9181,123.3
Gowongan,34.71.130.002,460.0,11824,31.7
Panggunghajo,34.02.140.004,5609.0,20844,456.9
Kaligintung,34.01.010.010,2187.0,1863,289.1
Bojong,34.01.030.006,3703.0,4467,349.7
Tirtarahayu,34.01.040.007,5652.0,7443,588.3
Srikayangan,34.01.060.002,7199.0,4961,912.8
Tawangsari,34.01.070.001,3892.0,4786,604.0
Kedungsari,34.01.070.003,6279.0,4517,676.9
Sendangsari,34.01.070.006,12780.0,9022,1200.0
Kalirejo,34.01.080.004,11510.0,5935,1109.0
Donomulyo,34.01.090.002,9697.0,5591,985.8
Pendoworejo,34.01.100.003,10287.0,6710,1044.0
Poncosari,34.02.010.001,11861.0,11844,1377.0
Tirtosari,34.02.030.004,2392.0,4507,214.2
Mulyopadi,34.02.050.002,6448.0,11294,730.2
Karangtalun,34.02.090.006,1212.0,2859,133.9
Jambidan,34.02.130.005,3759.0,7126,385.9
Timbulharjo,34.02.140.002,7776.0,15973,653.9
Guwosari,34.02.160.003,8782.0,8594,729.4
Argodadi,34.02.170.001,11215.0,10214,832.2
Girijati,34.03.010.001,7652.0,2197,1294.0
Girisuko,34.03.010.011,10835.0,5304,3311.0
Sumberwungu,34.03.030.009,18270.0,6833,1409.0
Songbanyu,34.03.040.006,15842.0,3914,2267.0
Nglindur,34.03.040.009,7164.0,2598,488.6
Botodayakan,34.03.040.012,12846.0,5308,1804.0
Karangwuni,34.03.040.015,9036.0,3710,1153.0
Bedoyo,34.03.060.003,7920.0,2681,643.6
